,Variable,index_20,index_21,index_22
522,h070722c,522.0,,
523,h070722d,523.0,,
524,h070722e,524.0,,
525,h070722f,525.0,,
526,h070722g,526.0,,
527,h070822,527.0,,
528,h070823,528.0,,
529,h070824,529.0,,
530,h070825,530.0,,
531,h070826,531.0,,
532,h070727e,532.0,,
533,h070827,533.0,,
534,h070901,534.0,,
535,h070901a,535.0,,
536,h070901b,536.0,,
537,h070901c,537.0,,
538,h070901d,538.0,,
539,h070901e,539.0,,
540,h070901f,540.0,,
541,h070901g,541.0,,
542,h071001,542.0,,
543,h071002,543.0,,
544,h071003,544.0,,
545,h071004,545.0,,
546,h071005,546.0,,
547,h070906e,547.0,,
548,h071006,548.0,,
562,h0813,562.0,,
563,h0814,563.0,,
564,h0815,564.0,,
565,h0816,565.0,,
566,nota9,566.0,136.0,
567,h0900,567.0,,
568,h0901a,568.0,137.0,
569,h0901aa,569.0,138.0,
570,h0901b,570.0,139.0,
571,h0901bb,571.0,140.0,
572,h0901c,572.0,141.0,
573,h0901cc,573.0,142.0,
574,nota10,574.0,143.0,
575,h1001,575.0,144.0,
576,h1001e,576.0,145.0,
577,h1002a,577.0,,
578,h1002b,578.0,,
579,h1002c,579.0,,
580,h1002d,580.0,,
581,h1002e,581.0,,
582,h1002f,582.0,,
583,h1002g,583.0,,
584,h1002h,584.0,,
585,h1002i,585.0,,
586,h1003a,586.0,,
587,h1003b,587.0,,
588,h1003c,588.0,,
589,h1003d,589.0,,
590,h1003e,590.0,148.0,
591,h1003f,591.0,,
592,h1003g,592.0,,
593,h1003h,593.0,,
594,h1003i,594.0,,
595,h1004a,595.0,,
596,h1004b,596.0,,
597,h1004c,597.0,,
598,h1004d,598.0,,
599,h1004e1,599.0,,
600,h1004f,600.0,,
601,h1004e,601.0,,
602,h1005a,602.0,150.0,
603,h1006a,603.0,,
604,h1005b,604.0,151.0,
605,h1006b,605.0,,
607,h12014,607.0,,
608,h120151,608.0,,
609,h120152,609.0,,
610,h120153,610.0,,
611,h120154,611.0,,
612,nota13,612.0,185.0,
613,nota14,613.0,208.0,
614,h14011,614.0,,
615,h14012,615.0,,
616,h14013,616.0,,
617,h14014,617.0,,
618,h14015,618.0,,
619,h14016,619.0,,
620,h14017,620.0,,
621,h14018,621.0,,
622,h14019,622.0,,
623,h140110,623.0,,
624,nota15,624.0,214.0,
625,h1501,625.0,215.0,
626,h1502,626.0,,
627,h1503,627.0,218.0,
628,h1504,628.0,219.0,
629,h1505,629.0,220.0,
630,h1507,630.0,222.0,
631,nota17,631.0,,
632,nota17a2,632.0,,
633,h17a021,633.0,,
634,h17a022,634.0,,
635,h17a023,635.0,,
636,h17a024,636.0,,
637,h17a025,637.0,,
638,h17a031,638.0,,
639,h17a032,639.0,,
640,h17a033,640.0,,
641,h17a034,641.0,,
642,h17a035,642.0,,
643,h17a036,643.0,,
644,h17a037,644.0,,
645,h17a038,645.0,,
