,0,1
meses_Frequency_11,129,41
meses_Frequency_2,115,45
meses_Frequency_3,124,29
meses_Frequency_4,120,24
meses_Frequency_5,102,44
meses_Frequency_6,109,42
meses_Frequency_7,113,46
meses_Frequency_8,126,39
meses_Frequency_9,119,53
h0305_Frequency_1,553,356
h0305_Frequency_2,349,175
h0305_Frequency_3,767,78
h0305_Frequency_4,175,9
h0305_Frequency_5,41,6
h0305_Frequency_6,36,15
h0305_Frequency_7,12,5
h0305_Frequency_8,53,23
h0305_Frequency_9,15,0
h0306_Frequency_1,1694,512
h0306_Frequency_2,297,152
h0306_Frequency_3,7,3
h0306_Frequency_4,3,0
h0308_Frequency_1,627,53
h0308_Frequency_2,684,200
h0308_Frequency_3,686,414
h0308_Frequency_8,0,0
h0308_Frequency_9,4,0
h0309_Frequency_1,562,160
h0309_Frequency_2,90,43
h0309_Frequency_3,5,3
h0309_Frequency_4,3,7
h0309_Frequency_5,5,0
h0309_Frequency_6,593,165
h0309_Frequency_7,30,8
h0309_Frequency_8,1,1
h0309_Frequency_9,3,0
h0309_Frequency_10,6,3
h0309_Frequency_11,1,3
h0309_Frequency_12,328,120
h0309_Frequency_13,53,13
h0309_Frequency_14,8,2
h0309_Frequency_15,15,5
h0309_Frequency_16,270,121
h0309_Frequency_17,6,2
h0309_Frequency_18,1,0
h0309_Frequency_19,0,0
h0309_Frequency_20,4,1
h0309_Frequency_21,0,0
h0309_Frequency_22,14,9
h0309_Frequency_23,3,1
H0310A_Frequency_1,693,214
H0310A_Frequency_2,83,40
H0310A_Frequency_3,23,19
H0310A_Frequency_4,9,8
H0310A_Frequency_5,3,12
H0310A_Frequency_6,2,0
H0310A_Frequency_7,22,8
H0310A_Frequency_8,2,1
H0310A_Frequency_9,8,2
H0310A_Frequency_10,914,287
H0310A_Frequency_11,229,72
H0310A_Frequency_99,13,4
h0311_Frequency_1,99,42
h0311_Frequency_2,1844,625
h0313_Frequency_1,537,36
h0313_Frequency_2,1406,631
h0317a_Frequency_0,106,64
h0317a_Frequency_1,81,6
h0317a_Frequency_10,212,56
h0317a_Frequency_11,10,3
h0317a_Frequency_12,0,0
h0317a_Frequency_2,616,261
h0317a_Frequency_3,499,160
h0317a_Frequency_4,355,83
h0317a_Frequency_5,3,1
h0317a_Frequency_6,3,2
h0317a_Frequency_7,11,13
h0317a_Frequency_8,22,8
h0317a_Frequency_9,25,10
h0317g_Frequency_1,203,40
h0317g_Frequency_2,231,77
h0317g_Frequency_3,847,283
h0317g_Frequency_4,161,47
h0317g_Frequency_5,82,22
h0317g_Frequency_6,313,134
h0319_Frequency_1,240,105
h0319_Frequency_2,38,10
h0319_Frequency_3,29,36
h0319_Frequency_4,28,17
h0319_Frequency_5,111,82
h0319_Frequency_6,583,294
h0319_Frequency_7,631,113
h0321_Frequency_1,842,326
h0321_Frequency_2,818,331
h0401_Frequency_1,463,667
h0401_Frequency_2,1538,0
h0601a_Frequency_1,45,15
h0601a_Frequency_2,1947,652
h0601a_Frequency_9,2,0
h0601c_Frequency_1,29,17
h0601c_Frequency_2,1971,650
h0601c_Frequency_9,1,0
h0601g_Frequency_1,4,0
h0601g_Frequency_2,1995,666
h0601g_Frequency_9,2,1
h0601h_Frequency_1,3,2
h0601h_Frequency_2,1996,665
h0601h_Frequency_9,2,0
h0601l_Frequency_1,15,5
h0601l_Frequency_2,1833,513
h0601l_Frequency_9,0,0
h0604ba_Frequency_1,27,8
h0604ba_Frequency_2,1966,657
h0604ba_Frequency_9,8,2
entidad_y_Frequency_1,58,10
entidad_y_Frequency_2,36,13
entidad_y_Frequency_3,39,8
entidad_y_Frequency_4,54,17
entidad_y_Frequency_5,40,16
entidad_y_Frequency_6,47,12
entidad_y_Frequency_7,61,41
entidad_y_Frequency_8,48,23
entidad_y_Frequency_9,153,55
entidad_y_Frequency_10,59,18
entidad_y_Frequency_11,196,74
entidad_y_Frequency_12,63,20
entidad_y_Frequency_13,62,24
entidad_y_Frequency_14,43,3
entidad_y_Frequency_15,151,46
entidad_y_Frequency_16,44,19
entidad_y_Frequency_17,49,18
entidad_y_Frequency_18,44,7
entidad_y_Frequency_19,115,34
entidad_y_Frequency_20,56,31
entidad_y_Frequency_21,40,15
entidad_y_Frequency_22,58,19
entidad_y_Frequency_23,42,8
entidad_y_Frequency_24,57,17
entidad_y_Frequency_25,40,12
entidad_y_Frequency_26,43,9
entidad_y_Frequency_27,65,35
entidad_y_Frequency_28,40,10
entidad_y_Frequency_29,52,18
entidad_y_Frequency_30,49,17
entidad_y_Frequency_31,46,3
entidad_y_Frequency_32,51,15
estrato_y_Frequency_1,524,230
estrato_y_Frequency_2,623,168
estrato_y_Frequency_3,854,269
entidad_Frequency_1,58,10
entidad_Frequency_2,36,13
entidad_Frequency_3,39,8
entidad_Frequency_4,54,17
entidad_Frequency_5,40,16
entidad_Frequency_6,47,12
entidad_Frequency_7,61,41
entidad_Frequency_8,48,23
entidad_Frequency_9,153,55
entidad_Frequency_10,59,18
entidad_Frequency_11,196,74
entidad_Frequency_12,63,20
entidad_Frequency_13,62,24
entidad_Frequency_14,43,3
entidad_Frequency_15,151,46
entidad_Frequency_16,44,19
entidad_Frequency_17,49,18
entidad_Frequency_18,44,7
entidad_Frequency_19,115,34
entidad_Frequency_20,56,31
entidad_Frequency_21,40,15
entidad_Frequency_22,58,19
entidad_Frequency_23,42,8
entidad_Frequency_24,57,17
entidad_Frequency_25,40,12
entidad_Frequency_26,43,9
entidad_Frequency_27,65,35
entidad_Frequency_28,40,10
entidad_Frequency_29,52,18
entidad_Frequency_30,49,17
entidad_Frequency_31,46,3
entidad_Frequency_32,51,15
desc_ent_y_Frequency_01 AGUASCALIENTES,58,10
desc_ent_y_Frequency_02 BAJA CALIFORNIA,36,13
desc_ent_y_Frequency_03 BAJA CALIFORNIA SUR,39,8
desc_ent_y_Frequency_04 CAMPECHE,54,17
desc_ent_y_Frequency_05 COAHUILA DE ZARAGOZA,40,16
desc_ent_y_Frequency_06 COLIMA,47,12
desc_ent_y_Frequency_07 CHIAPAS,61,41
desc_ent_y_Frequency_08 CHIHUAHUA,48,23
desc_ent_y_Frequency_09 CIUDAD DE MÉXICO,153,55
desc_ent_y_Frequency_10 DURANGO,59,18
desc_ent_y_Frequency_11 GUANAJUATO,196,74
desc_ent_y_Frequency_12 GUERRERO,63,20
desc_ent_y_Frequency_13 HIDALGO,62,24
desc_ent_y_Frequency_14 JALISCO,43,3
desc_ent_y_Frequency_15 MÉXICO,151,46
desc_ent_y_Frequency_16 MICHOACÁN DE OCAMPO,44,19
desc_ent_y_Frequency_17 MORELOS,49,18
desc_ent_y_Frequency_18 NAYARIT,44,7
desc_ent_y_Frequency_19 NUEVO LEÓN,115,34
desc_ent_y_Frequency_20 OAXACA,56,31
desc_ent_y_Frequency_21 PUEBLA,40,15
desc_ent_y_Frequency_22 QUERÉTARO,58,19
desc_ent_y_Frequency_23 QUINTANA ROO,42,8
desc_ent_y_Frequency_24 SAN LUIS POTOSÍ,57,17
desc_ent_y_Frequency_25 SINALOA,40,12
desc_ent_y_Frequency_26 SONORA,43,9
desc_ent_y_Frequency_27 TABASCO,65,35
desc_ent_y_Frequency_28 TAMAULIPAS,40,10
desc_ent_y_Frequency_29 TLAXCALA,52,18
